stop_id,stop_name,stop_lat,stop_lon,color
01METRO-Universidad,Metro Universidad,19.32435,-99.17394,AD9B0C
01METRO-Tlatelolco,Metro Tlatelolco,19.45506,-99.14313,AD9B0C
01METRO-Potrero,Metro Potrero,19.47719,-99.13201,AD9B0C
01METRO-NinosHeroes,Metro Niños Héroes/ Poder Judicial CDMX,19.41948,-99.15036,AD9B0C
01METRO-MiguelAngeldeQuevedo,Metro Miguel Ángel de Quevedo,19.34625,-99.18076,AD9B0C
01METRO-Juarez,Metro Juárez,19.43325,-99.14768,AD9B0C
01METRO-IndiosVerdes,Metro Indios Verdes,19.49534,-99.11951,AD9B0C
01METRO-HospitalGeneral,Metro Hospital General,19.41376,-99.15325,AD9B0C
01METRO-Hidalgo,Metro Hidalgo,19.43738,-99.14678,AD9B0C
01METRO-Eugenia,Metro Eugenia,19.38617,-99.1572,AD9B0C
01METRO-Etiopia/PlazadelaTransparencia,Metro Etiopía/Plaza de la Transparencia,19.39592,-99.15603,AD9B0C
01METRO-DivisiondelNorte,Metro División del Norte,19.37918,-99.15948,AD9B0C
01METRO-Coyoacan,Metro Coyoacán,19.36136,-99.17086,AD9B0C
01METRO-Copilco,Metro Copilco,19.3361,-99.17697,AD9B0C
01METRO-Balderas,Metro Balderas,19.42648,-99.14906,AD9B0C
01METRO-Zocalo,Metro Zócalo,19.4325,-99.13225,0071C1
01METRO-Xola,Metro Xola,19.39521,-99.13781,0071C1
01METRO-VilladeCortes,Metro Villa de Cortés,19.38758,-99.13896,0071C1
01METRO-Viaducto,Metro Viaducto,19.40087,-99.1369,0071C1
01METRO-Tasquena,Metro Tasquena,19.34376,-99.13953,0071C1
01METRO-SanCosme,Metro San Cosme,19.4419,-99.16066,0071C1
01METRO-SanAntonioAbad,Metro San Antonio Abad,19.41602,-99.13454,0071C1
01METRO-Revolucion,Metro Revolución,19.43923,-99.15423,0071C1
01METRO-Portales,Metro Portales,19.36992,-99.14157,0071C1
01METRO-Popotla,Metro Popotla,19.45291,-99.17549,0071C1
01METRO-PinoSuarez,Metro Pino Suárez,19.42438,-99.13294,0071C1
01METRO-Panteones,Metro Panteones,19.45864,-99.20295,0071C1
01METRO-Normal,Metro Normal,19.44456,-99.16727,0071C1
01METRO-Nativitas,Metro Nativitas,19.38005,-99.14002,0071C1
01METRO-GeneralAnaya,Metro General Anaya,19.35324,-99.14501,0071C1
01METRO-Cuitlahuac,Metro Cuitláhuac,19.45725,-99.1815,0071C1
01METRO-CuatroCaminos,Metro Cuatro Caminos,19.45959,-99.21584,0071C1
01METRO-ColegioMilitar,Metro Colegio Militar,19.44927,-99.17178,0071C1
01METRO-Allende,Metro Allende,19.43556,-99.13687,0071C1
01METRO-Moctezuma,Metro Moctezuma,19.42685,-99.1098,F94F8E
01METRO-Zaragoza,Metro Zaragoza,19.41192,-99.08229,F94F8E
01METRO-Sevilla,Metro Sevilla,19.42185,-99.17112,F94F8E
01METRO-BoulevardPuertoAereo,Metro Boulevard Puerto Aéreo,19.41994,-99.09626,F94F8E
01METRO-Observatorio,Metro Observatorio,19.39828,-99.2004,F94F8E
01METRO-Merced,Metro Merced,19.42549,-99.12503,F94F8E
01METRO-Juanacatlan,Metro Juanacatlán,19.41295,-99.18198,F94F8E
01METRO-IsabellaCatolica,Metro Isabel la Católica,19.42639,-99.13783,118749
01METRO-Insurgentes,Metro Insurgentes,19.42365,-99.16329,F94F8E
01METRO-GomezFarias,Metro Gómez Farías,19.41648,-99.09021,F94F8E
01METRO-Cuauhtemoc,Metro Cuauhtémoc,19.42566,-99.1546,F94F8E
01METRO-Chapultepec,Metro Chapultepec,19.42075,-99.17642,F94F8E
01METRO-Balbuena,Metro Balbuena,19.42336,-99.10277,F94F8E
METROBUSL1-INDIOSVERDES,Metrobús Indios Verdes,19.49682,-99.11972,D40D0D
METROBUSL1-DVO18MARZO,Metrobús Deportivo 18 de Marzo,19.48629,-99.12453,D40D0D
METROBUSL1-EUZKARO,Metrobús Euzkaro,19.48252,-99.12763,D40D0D
METROBUSL1-POTRERO,Metrobús Potrero,19.47664,-99.13247,D40D0D
METROBUSL1-LARAZA,Metrobús La Raza,19.4687,-99.13899,D40D0D
METROBUSL1-CIRCUITO,Metrobús Circuito,19.46261,-99.14401,D40D0D
METROBUSL1-SANSIMON,Metrobús San Simón,19.45963,-99.14642,D40D0D
METROBUSL1-MANUELGLEZ,Metrobús Manuel González,19.4571,-99.14893,D40D0D
METROBUSL1-BUENAVISTA,Metrobús Buenavista,19.44684,-99.15313,D40D0D
METROBUSL1-ELCHOPO,Metrobús El Chopo,19.44335,-99.15441,D40D0D
METROBUSL1-REVOLUCION,Metrobús Revolución,19.44035,-99.15541,D40D0D
METROBUSL1-PLAZAREPU,Metrobús Plaza de la República,19.43605,-99.15732,D40D0D
METROBUSL1-REFORMA,Metrobús Reforma,19.4329,-99.15871,D40D0D
METROBUSL1-HAMBURGO,Metrobús Hamburgo,19.42752,-99.16124,D40D0D
METROBUSL1-GLORIETA,Metrobús Glorieta Insurgentes,19.42413,-99.16324,D40D0D
METROBUSL1-DURANGO,Metrobús Durango,19.41993,-99.16406,D40D0D
METROBUSL1-ALVAROOBRE,Metrobús Álvaro Obregón,19.41655,-99.16506,D40D0D
METROBUSL1-SONORA,Metrobús Sonora,19.41327,-99.16612,D40D0D
METROBUSL1-CAMPECHE,Metrobús Campeche,19.40977,-99.16727,D40D0D
METROBUSL1-CHILPANCINGO,Metrobús Chilpancingo,19.40658,-99.1683,D40D0D
METROBUSL1-NVOLEON,Metrobús Nuevo León,19.40204,-99.16978,D40D0D
METROBUSL1-LAPIEDAD,Metrobús La Piedad,19.39797,-99.17111,D40D0D
METROBUSL1-POLIFORUM,Metrobús Poliforum,19.3933,-99.17262,D40D0D
METROBUSL1-NAPOLES,Metrobús Nápoles,19.38969,-99.17379,D40D0D
METROBUSL1-COLDELVALLE,Metrobús Colonia del Valle,19.38569,-99.17509,D40D0D
METROBUSL1-CIUDADDEPORTES,Metrobús Ciudad de los Deportes,19.38245,-99.17614,D40D0D
METROBUSL1-PARQUEHUND,Metrobús Parque Hundido,19.37959,-99.17707,D40D0D
METROBUSL1-FELIXCUEVAS,Metrobús Felix Cuevas,19.37425,-99.1788,D40D0D
METROBUSL1-RIOCHURU,Metrobús Río Churubusco,19.36878,-99.18057,D40D0D
METROBUSL1-TEATROINSURG,Metrobús Teatro de los Insurgentes,19.36493,-99.18183,D40D0D
METROBUSL1-JOSEMRIAVELAS,Metrobús José María Velasco,19.36176,-99.18285,D40D0D
METROBUSL1-FRANCIA,Metrobús Francia,19.35848,-99.18391,D40D0D
