Origen,Destino,Distancia
METROBUSL1-FELIXCUEVAS,METROBUSL1-RIOCHURU,635.9447672331091
METROBUSL1-RIOCHURU,METROBUSL1-TEATROINSURG,448.041237179632
METROBUSL1-TEATROINSURG,METROBUSL1-JOSEMRIAVELAS,368.37132765029247
METROBUSL1-JOSEMRIAVELAS,METROBUSL1-FRANCIA,381.29519725132815
METROBUSL1-FRANCIA,METROBUSL1-OLIVO,447.73530879651537
METROBUSL1-OLIVO,METROBUSL1-ALTAVISTA,433.44299354803815
METROBUSL1-ALTAVISTA,METROBUSL1-BOMBILLA,475.8995844837184
METROBUSL1-BOMBILLA,METROBUSL1-DRGALVEZ,721.334956505434
METROBUSL1-DRGALVEZ,METROBUSL1-CU,1981.6807183571827
METROBUSL1-CU,METROBUSL1-CCU,871.8064638534308
METROBUSL1-CCU,METROBUSL1-PERISUR,1237.456082697907
METROBUSL1-PERISUR,METROBUSL1-VILLAOLIMPICA,561.9779000918334
METROBUSL1-VILLAOLIMPICA,METROBUSL1-CORREGIDORA,729.8239141535092
METROBUSL1-CORREGIDORA,METROBUSL1-AYUNTAMIENTO,401.0937194129667
METROBUSL1-AYUNTAMIENTO,METROBUSL1-FUENTESBROTAN,587.8656429399177
METROBUSL1-FUENTESBROTAN,METROBUSL1-STAURSULA,543.174969095484
METROBUSL1-STAURSULA,METROBUSL1-LAJOYA,646.1291514886514
METROBUSL1-LAJOYA,METROBUSL1-CAMINERO,147.42956543863687
METROBUSL1-INDIOSVERDES,01METRO-IndiosVerdes,166.03409473079353
01METRO-Revolucion,METROBUSL1-REVOLUCION,175.5531140301705
01METRO-Tepalcates,METROBUSL2-TEPALCATES,145.74149166145423
METROBUSL2-TEPALCATES,METROBUSL2-NICOLASBRAVO,461.9628698639572
METROBUSL2-NICOLASBRAVO,METROBUSL2-CANALSANJUAN,689.0986688339759
METROBUSL2-CANALSANJUAN,METROBUSL2-GRALANTONIOLEO,1357.4906919923228
METROBUSL2-GRALANTONIOLEO,METROBUSL2-CONSTAPATZIN,943.4646371661444
METROBUSL2-CONSTAPATZIN,METROBUSL2-CCHOTE,641.4342257802263
METROBUSL2-CCHOTE,METROBUSL2-LEYESREFORMA,527.8377313707177
METROBUSL2-LEYESREFORMA,METROBUSL2-DELMORAL,541.072579857883
METROBUSL2-DELMORAL,METROBUSL2-RIOFRIO,519.301086811557
METROBUSL2-RIOFRIO,METROBUSL2-ROJOGOMEZ,410.3865408816673
METROBUSL2-ROJOGOMEZ,METROBUSL2-RIOMAYO,469.8849834337743
METROBUSL2-RIOMAYO,METROBUSL2-RIOTECOLUTLA,402.8769177886487
METROBUSL2-RIOTECOLUTLA,METROBUSL2-RODEO,503.48685112865513
METROBUSL2-RODEO,METROBUSL2-UPIICSA,429.8883429916536
METROBUSL2-UPIICSA,METROBUSL2-IZTACALCO,652.3229725580004
METROBUSL2-IZTACALCO,METROBUSL2-GOMA,426.4580411668239
METROBUSL2-GOMA,METROBUSL2-TLACOTAL,410.6881173974079
METROBUSL2-TLACOTAL,METROBUSL2-CANELA,573.8077959213638
METROBUSL2-CANELA,METROBUSL2-COYUYA,781.7916915740245
METROBUSL2-COYUYA,METROBUSL2-LAVIGA,816.3544349357832
METROBUSL2-LAVIGA,METROBUSL2-ANDRESMOLI,540.7517326317715
METROBUSL2-ANDRESMOLI,METROBUSL2-AMERICAS,676.7955279826605
METROBUSL2-AMERICAS,METROBUSL2-XOLA,627.0427090702045
METROBUSL2-XOLA,METROBUSL2-ALAMOS,285.28735566921665
METROBUSL2-ALAMOS,METROBUSL2-CENTROSCOP,404.49901495501126
METROBUSL2-CENTROSCOP,METROBUSL2-DRVERTIZ,520.719308495531
METROBUSL2-DRVERTIZ,METROBUSL2-ETIOPIA,346.0158867870916
METROBUSL2-ETIOPIA,METROBUSL2-AMORES,932.2763410125765
METROBUSL2-AMORES,METROBUSL2-VIADUCTO,665.744056508113
METROBUSL2-VIADUCTO,METROBUSL1-NVOLEON,344.2468639216623
